Cartridge,Promocode
HP C9723A (Magenta),8017ETWG
HP 06A (Black),2322JPBS
Hp 15A (Black),8928SHLK
HP 27A (Black),7187RDMS
HP 27X (Black),2013WZCB
HP 38A (Black),1419THXY
HP 49 X (Black),6865NIQK
HP 51Aÿ(Black),7849RWWW
HP 74A (Black),3228QOGH
HP 80X (Black),7793BCWA
HP 82X (Black),1865CQXK
HP 90A (Black),7960ULQN
HP 96A (Black),3694TDPC
HP 98A (Black),4673QBBV
HP 121A (Cyan),3412XPGN
HP 121A (Yellow),0617ETVJ
HP 121A (Magenta),5400CJUB
HP 124Aÿ(Black),0169XXMQ
HP 124A (Cyan),1679WKTR
HP 124A (Yellow),8565AUYC
HP 124A (Magenta),0222BTFI
HP 410A (Tricolor),3258IBXL
HP 501A (Black),2499LQAW
HP 502A (Cyan),2743CBKU
HP 503A (Cyan),4377GADY
HP 641A (Black),2419UNWR
HP 641A (Cyan),4246EDVY
HP 641A (Yellow),7043ZIBN
HP 641A (Magenta),9582SRLX
HP 647A (Black),3425PVYE
HP 648A (Magenta),4447KNLQ
HP 648A (Yellow),3543ZVEL
HP 649x (Black),2343CSVB
HP 822A (Black),4166XUVI
HP 822A (Cyan),5040YZMK
HP 822A (Magenta),4617PBSM
HP 822A (Yellow),0085YYLW
HP 02 (Black),6046CGDS
HP 11 (Yellow),6774JQMK
HP 23 (Tricolor),6525TGWD
HP 45 (Black)ÿ,8639BNFA
HP 57 (Tri-Color),9697IPMM
HP 70 (Red),4027VWHP
HP 70 (Yellow),2962KMAT
HP 70 (Light Magenta),1618HDLF
HP 78 (Tri-color),3922KKCE
HP 94 (Black),2621UOQI
HP 95ÿ(Tri-color),6782ONWU
HP 564 (Black),8660UQKI
HP 564 (Cyan),0151OLOD
HP 564 (Magenta),0555PVAY
HP 564 (Yellow),4269HAYZ
HP 564 Photo (Black),8746UIXS
HP 920 (Cyan),2080GXHO
HP 933 (Magenta),3378CGHK
HP 934 (Black),1762IWVO
HP 935 (Cyan),0783ZDXS
HP 940 (Cyan),6981EPOX
HP 940 (Magenta),1461GOQK
HP 950 (Black),0692VWHK
,
