Cartridge,Alternative,Compatible Printers
HP C9723A (Magenta),,"HP LaserJet 4600, 4610, 4650ÿ"
HP 06A (Black),C3909A,"HP LaserJet 5L, 6L, 6L Gold 6L Pro, 3100, 3150"
Hp 15A (Black),C7115A,"HP LaserJet 1000, 1005, 1200, 1220, 3300, 3380"
HP 27A (Black),Q5942A,"HP LaserJet 4000, 4000N, 4000SE, 4000T, 4000TN, 4050N, 4050SE, 4050T, 4050TN"
HP 27X (Black),C4127X,"HP LaserJet 4000, 4050"
HP 38A (Black),Q1338A,HP Laserjet 4200
HP 49 X (Black),Q5949X,"HP Lasterjet 1320, 3390, 3392"
HP 51Aÿ(Black),Q7551A,"HP LaserJet P3005, M3027 mfp, M3035 mfp"
HP 74A (Black),C4182X,"HP LaserJet 4L, 4ML, 4P, 4MP"
HP 80X (Black),CF290X,"400 M401, 400 M425"
HP 82X (Black),C4182X,"HP LaserJet 8100, 8150, mopier 320"
HP 90A (Black),CE390A,Hp LaserJet Enterprise M4555 mfp
HP 96A (Black),C4096A,"HP Color LaserJet 2100, 2200"
HP 98A (Black),C9700A,"HP LaserJet 4, 4+, 4M, 4M+, 5, 5M, 5N"
HP 121A (Cyan),C9701A,"HP Color LaserJet 1500, 1500 L, 1500 Lxi, 2500, 2500 L, 2500 Lse, 2500 n, 2500 tn"
HP 121A (Yellow),C9702A,"HP Color LaserJet 1500, 1500 L, 1500 Lxi, 2500, 2500 L, 2500 Lse, 2500 n, 2500 tn"
HP 121A (Magenta),C9703A,"HP Color LaserJet 1500, 1500 L, 1500 Lxi, 2500, 2500 L, 2500 Lse, 2500 n, 2500 tn"
HP 124Aÿ(Black),Q6000A,"HP LaserJet 1600, 2600, 2605, CM1015 mfp, CM 1017 mfp"
HP 124A (Cyan),Q6001A,"HP LaserJet 1600, 2600, 2605, CM1015 mfp, CM 1017 mfp"
HP 124A (Yellow),Q6002A,"HP LaserJet 1600, 2600, 2605, CM1015 mfp, CM 1017 mfp"
HP 124A (Magenta),Q6003A,"HP LaserJet 1600, 2600, 2605, CM1015 mfp, CM 1017 mfp"
HP 410A (Tricolor),CF251AM,"HP LaserJet Pro M452, M477"
HP 501A (Black),Q6470A,"HP Color LaserJet 3800,ÿ HP Color LaserJet 3600,ÿ HP Color LaserJet CP3505 ;ÿ HP Color LaserJet 3600,ÿ HP Color LaserJet CP3505"
HP 502A (Cyan),Q6473A,"HP Color LaserJet 3600, 3600N, 3600DN"
HP 503A (Cyan),Q7581A,"HP LaserJet CP3505, 3800"
HP 641A (Black),C9720A,"HP LaserJet 4600, 4610, 4650 "
HP 641A (Cyan),C9721A,"HP LaserJet 4600, 4610, 4650 "
HP 641A (Yellow),C9722A,"HP LaserJet 4600, 4610, 4650 "
HP 641A (Magenta),C9723A,"HP LaserJet 4600, 4610, 4650 "
